Advertiser,Campaign,Insertion Order,Line Item,Date,Device Type,Region,Impressions,Clicks,Click Rate,Total Media Cost (Advertiser Currency),Total Conversions,Active View Viewable Impressions
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260816,Desktop,Košický kraj,12209,110,0.9%,47.9,,9528
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20261016,Mobile,Košický kraj,5982,15,0.25%,14.89,0.0,4041
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261011,Connected TV,Ostatné SR,9876,28,0.29%,31.1,0.0,5808
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261009,Tablet,Bratislavský kraj,8121,22,0.27%,17.83,,5622
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261011,Connected TV,Bratislavský kraj,7478,71,0.95%,28.98,0.0,5311
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260923,Tablet,Ostatné SR,9219,52,0.57%,43.98,,5416
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261013,Connected TV,Košický kraj,6413,39,0.61%,20.12,,3857
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260914,Mobile,Košický kraj,12259,50,0.41%,42.39,,6972
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260925,Mobile,Bratislavský kraj,13370,141,1.06%,65.43,,7798
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20261023,Connected TV,Ostatné SR,10234,63,0.62%,30.77,,7235
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260903,Desktop,Košický kraj,8606,21,0.24%,20.85,0.0,6877
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20260924,Connected TV,Bratislavský kraj,9034,35,0.39%,27.18,,6711
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260930,Tablet,Košický kraj,3718,33,0.88%,15.5,,2951
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260903,Mobile,Bratislavský kraj,13568,86,0.64%,37.8,0.0,9022
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261013,Tablet,Ostatné SR,5899,44,0.75%,27.68,,4644
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260823,Mobile,Bratislavský kraj,25313,111,0.44%,92.91,,20041
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20261006,Mobile,Ostatné SR,12872,72,0.56%,28.89,0.0,8371
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20261018,Mobile,Košický kraj,8668,90,1.04%,28.85,,5462
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Prospecting,20261011,Mobile,Ostatné SR,10180,47,0.46%,19.84,,6978
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260925,Tablet,Bratislavský kraj,7179,58,0.81%,27.71,,5390
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260828,Connected TV,Ostatné SR,7553,48,0.64%,26.16,0.0,5731
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260901,Tablet,Bratislavský kraj,4570,26,0.57%,12.65,0.0,2544
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260820,Mobile,Ostatné SR,9169,69,0.75%,39.78,0.0,5254
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20261015,Mobile,Bratislavský kraj,10031,45,0.45%,26.19,0.0,6651
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260928,Tablet,Bratislavský kraj,7381,34,0.46%,18.97,,4935
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Prospecting,20260922,Mobile,Ostatné SR,12692,86,0.68%,52.77,,8891
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260822,Tablet,Ostatné SR,2961,11,0.38%,7.07,,1708
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260917,Desktop,Bratislavský kraj,12468,53,0.43%,26.09,,7551
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Video_Retarget,20260817,Mobile,Ostatné SR,12467,122,0.98%,48.95,,8796
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Display_Retarget,20260925,Connected TV,Bratislavský kraj,10484,67,0.64%,27.35,,6378
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Display,LI_Native_Prospecting,20260920,Connected TV,Bratislavský kraj,6746,47,0.7%,18.82,0.0,4177
Energy_Client_SK,ProduktLaunch26_Programmatic,IO_ProduktLaunch26_Video,LI_Audio_Awareness,20260914,Desktop,Košický kraj,5989,25,0.41%,14.68,,4419
