Campaign name,Ad set name,Ad name,Day,Age,Gender,Impressions,Reach,Frequency,Clicks (All),Link clicks,CTR (link click-through rate),CPC (cost per link click) (EUR),Amount spent (EUR),Results,Cost per results,Result type
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-23,45-54,Male,2226,1462.0,1.52,61,34,1.55,0.52,17.68,1.0,17.68,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-08-19,55-64,Male,945,464.0,2.04,24,16,1.73,0.56,8.96,0.0,,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-08-30,35-44,Female,3877,1773.0,2.19,134,87,2.24,0.35,30.45,3.0,10.15,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Reels,Reels_v1,2026-06-12,25-34,Female,3527,2173.0,1.62,117,59,1.67,0.54,31.86,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-15,65+,Female,865,497.0,1.74,34,17,2.02,0.42,7.14,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-06,55-64,Male,1436,823.0,1.74,23,12,0.83,0.35,4.2,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Stories,Stories_v1,2026-10-26,35-44,Female,2365,1538.0,1.54,91,51,2.14,0.33,16.83,1.0,16.83,Website purchases
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-29,45-54,Female,1655,934.0,1.77,50,27,1.66,0.48,12.96,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Video,Video_v1,2026-06-22,65+,Female,1615,814.0,1.98,55,24,1.48,0.4,9.6,,,
SK_BrandAwareness_Leto26_META,SK_BrandAwareness_Leto26_META_Carousel,Carousel_v1,2026-07-12,55-64,Female,1691,844.0,2.0,65,34,2.03,0.68,23.12,,,
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Feed,Feed_v1,2026-08-20,25-34,Female,1768,1025.0,1.72,57,29,1.61,0.48,13.92,1.0,13.92,Website purchases
SK_ProduktLaunch26_META,SK_ProduktLaunch26_META_Reels,Reels_v1,2026-10-19,55-64,Female,1747,831.0,2.1,49,30,1.72,0.46,13.8,1.0,13.8,Website purchases
