Campaign Name,Campaign ID,Ad Group Name,By Day,Age,Gender,Cost,CPM,CPC,CTR,Impressions,Clicks,Conversions,Cost per Conversion,Currency
TT_PRODUKTLAUNCH26,1789010002,TopView,08/22/2026,45-54,Male,28.6,5.96,0.55,1.09,4799,52,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/19/2026,45-54,Male,31.05,4.79,0.45,1.06,6489,69,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/23/2026,45-54,Male,23.85,4.75,0.53,0.89,5023,45,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/10/2026,35-44,Female,23.76,4.39,0.36,1.22,5414,66,1,23.76,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/11/2026,55-64,Female,19.95,5.1,0.57,0.9,3915,35,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/09/2026,45-54,Male,12.4,4.3,0.4,1.08,2886,31,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/10/2026,65+,Male,9.61,5.37,0.31,1.74,1789,31,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/24/2026,35-44,Female,25.6,4.7,0.4,1.18,5442,64,1,25.6,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/18/2026,25-34,Female,34.31,7.89,0.47,1.68,4350,73,1,34.31,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/24/2026,55-64,Male,21.07,5.92,0.43,1.39,3562,49,1,21.07,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/07/2026,35-44,Male,21.84,4.31,0.39,1.11,5063,56,1,21.84,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/06/2026,65+,Female,11.76,7.23,0.49,1.51,1626,24,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/12/2026,25-34,Male,17.34,9.8,0.34,2.87,1770,51,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/18/2026,25-34,Male,26.88,5.13,0.48,1.08,5244,56,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/11/2026,45-54,Female,21.28,6.04,0.38,1.59,3524,56,1,21.28,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,09/16/2026,25-34,Female,27.26,5.62,0.47,1.2,4848,58,1,27.26,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/07/2026,35-44,Male,10.89,8.34,0.33,2.55,1305,33,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/23/2026,45-54,Male,13.12,5.68,0.32,1.78,2311,41,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/21/2026,55-64,Female,21.56,8.62,0.49,1.77,2500,44,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/29/2026,18-24,Male,9.8,4.7,0.35,1.34,2085,28,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/24/2026,35-44,Male,8.7,2.82,0.3,0.95,3086,29,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/04/2026,55-64,Male,15.98,8.07,0.34,2.39,1981,47,1,15.98,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/03/2026,45-54,Female,18.9,12.6,0.42,3.0,1500,45,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,07/11/2026,35-44,Female,9.1,8.0,0.35,2.3,1137,26,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/02/2026,25-34,Male,19.8,3.47,0.33,1.04,5702,60,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/25/2026,35-44,Male,17.16,3.83,0.39,0.97,4477,44,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,10/27/2026,35-44,Female,20.09,7.85,0.49,1.61,2560,41,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,08/18/2026,65+,Female,13.6,5.42,0.34,1.58,2508,40,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/15/2026,35-44,Male,37.44,5.76,0.48,1.21,6498,78,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/30/2026,55-64,Female,18.02,5.59,0.34,1.64,3224,53,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,08/08/2026,55-64,Female,16.5,6.82,0.33,2.06,2421,50,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,08/19/2026,18-24,Female,28.67,6.56,0.61,1.08,4369,47,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,10/13/2026,35-44,Female,35.4,6.87,0.6,1.14,5151,59,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,InFeed_Launch,09/17/2026,45-54,Female,21.46,7.96,0.37,2.14,2696,58,1,21.46,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,08/08/2026,35-44,Female,20.3,4.11,0.35,1.18,4940,58,0,,EUR
TT_LETO26_BrandAware,1789010001,Spark_Awareness,06/27/2026,18-24,Male,10.14,4.17,0.39,1.08,2434,26,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,06/20/2026,25-34,Female,30.8,5.07,0.35,1.45,6076,88,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/24/2026,18-24,Male,31.36,6.82,0.32,2.12,4600,98,1,31.36,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Prospecting,07/16/2026,25-34,Male,23.49,3.55,0.27,1.31,6614,87,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,TopView,09/01/2026,65+,Male,21.08,7.91,0.62,1.26,2664,34,0,,EUR
TT_PRODUKTLAUNCH26,1789010002,Spark_Ads,10/25/2026,65+,Female,19.68,9.62,0.41,2.34,2046,48,1,19.68,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,08/11/2026,35-44,Male,9.36,8.5,0.36,2.36,1101,26,0,,EUR
TT_LETO26_BrandAware,1789010001,InFeed_Retarget,06/08/2026,55-64,Female,6.4,7.38,0.4,1.87,867,16,0,,EUR
