Year,Product_Category,Total_Profit,Average_Profit,Total_Revenue,Average_Revenue,Total_Cost,Total_Orders
2011,Bikes,2881301,1076,8964888,3349,6083587,5260
2012,Bikes,2951993,1103,9175983,3428,6223990,5354
2013,Accessories,1985231,132,3384215,225,1398984,231142
2013,Bikes,3290410,576,9858787,1727,6568377,5710
2013,Clothing,683567,184,1997035,539,1313468,57935
2014,Accessories,2515513,126,4293592,214,1778079,303638
2014,Bikes,2591500,563,7611243,1653,5019743,4604
2014,Clothing,757074,159,2247889,472,1490815,71343
2015,Accessories,1927540,128,3285954,219,1358414,224840
2015,Bikes,4938927,865,14799083,2592,9860156,8556
2015,Clothing,662096,179,1938954,523,1276858,56121
2016,Accessories,2434093,121,4154231,207,1720138,294542
2016,Bikes,3865145,840,11372150,2470,7507005,6927
2016,Clothing,736710,155,2187004,460,1450294,69344
