Product_Category,Sub_Category,Product,Age_Group,Total_Orders,Avg_OrdersPerPerson,Avg_OrderPrice
Accessories,"Tires and Tubes","Patch Kit/8 Patches","Adults (35-64)",77331,15,2
Accessories,"Bottles and Cages","Water Bottle - 30 oz.","Adults (35-64)",77297,15,5
Accessories,"Bottles and Cages","Water Bottle - 30 oz.","Young Adults (25-34)",60894,16,5
Accessories,"Tires and Tubes","Mountain Tire Tube","Adults (35-64)",53186,15,5
Accessories,"Tires and Tubes","Patch Kit/8 Patches","Young Adults (25-34)",45540,15,2
Accessories,"Tires and Tubes","Mountain Tire Tube","Young Adults (25-34)",36313,15,5
Accessories,"Tires and Tubes","Patch Kit/8 Patches","Youth (<25)",33539,15,2
Clothing,Caps,"AWC Logo Cap","Adults (35-64)",33027,16,9
Accessories,Fenders,"Fender Set - Mountain","Adults (35-64)",32836,16,22
Accessories,Helmets,"Sport-100 Helmet, Red","Adults (35-64)",32516,15,35
Accessories,Helmets,"Sport-100 Helmet, Black","Adults (35-64)",31544,15,35
Accessories,Helmets,"Sport-100 Helmet, Blue","Adults (35-64)",29970,15,35
Accessories,"Tires and Tubes","Road Tire Tube","Adults (35-64)",27018,15,4
Accessories,"Bottles and Cages","Water Bottle - 30 oz.","Youth (<25)",25307,15,5
Accessories,"Tires and Tubes","Touring Tire Tube","Adults (35-64)",24378,15,5
Clothing,Caps,"AWC Logo Cap","Young Adults (25-34)",23734,16,9
Accessories,Helmets,"Sport-100 Helmet, Black","Young Adults (25-34)",22670,15,35
Accessories,"Bottles and Cages","Mountain Bottle Cage","Adults (35-64)",21903,15,10
Accessories,"Bottles and Cages","Road Bottle Cage","Adults (35-64)",21244,15,9
Accessories,Helmets,"Sport-100 Helmet, Red","Young Adults (25-34)",20359,15,35
Accessories,"Tires and Tubes","Road Tire Tube","Young Adults (25-34)",20032,15,4
Accessories,Fenders,"Fender Set - Mountain","Young Adults (25-34)",19925,15,22
Accessories,Helmets,"Sport-100 Helmet, Blue","Young Adults (25-34)",17986,15,35
Accessories,"Tires and Tubes","Touring Tire Tube","Young Adults (25-34)",16146,16,5
Accessories,"Tires and Tubes","Touring Tire Tube","Youth (<25)",15498,15,5
Accessories,"Tires and Tubes","Road Tire Tube","Youth (<25)",14490,15,4
Accessories,Cleaners,"Bike Wash - Dissolver","Adults (35-64)",14400,15,8
Accessories,"Tires and Tubes","HL Mountain Tire","Adults (35-64)",13953,15,35
Accessories,"Bottles and Cages","Road Bottle Cage","Young Adults (25-34)",12791,15,9
Accessories,"Tires and Tubes","Mountain Tire Tube","Youth (<25)",12621,15,5
Accessories,"Tires and Tubes","LL Road Tire","Young Adults (25-34)",12162,16,21
Accessories,"Hydration Packs","Hydration Pack - 70 oz.","Adults (35-64)",11102,15,55
Accessories,"Tires and Tubes","ML Mountain Tire","Adults (35-64)",10823,15,30
Accessories,"Tires and Tubes","LL Road Tire","Adults (35-64)",10785,16,21
Accessories,"Tires and Tubes","HL Mountain Tire","Young Adults (25-34)",10738,16,35
Accessories,Helmets,"Sport-100 Helmet, Red","Youth (<25)",10550,15,35
Accessories,"Tires and Tubes","HL Road Tire","Adults (35-64)",10298,15,33
Clothing,Caps,"AWC Logo Cap","Youth (<25)",10235,14,9
Accessories,"Tires and Tubes","ML Road Tire","Adults (35-64)",8896,15,25
Accessories,Fenders,"Fender Set - Mountain","Youth (<25)",8832,14,22
Accessories,Cleaners,"Bike Wash - Dissolver","Young Adults (25-34)",8554,15,8
Accessories,"Bottles and Cages","Mountain Bottle Cage","Young Adults (25-34)",8444,16,10
Accessories,"Tires and Tubes","LL Mountain Tire","Adults (35-64)",8120,16,25
Accessories,"Tires and Tubes","ML Road Tire","Young Adults (25-34)",7487,15,25
Accessories,Helmets,"Sport-100 Helmet, Black","Youth (<25)",7379,14,35
Accessories,Helmets,"Sport-100 Helmet, Blue","Youth (<25)",7362,14,35
Clothing,Gloves,"Half-Finger Gloves, M","Adults (35-64)",7283,15,24
Accessories,"Tires and Tubes","ML Mountain Tire","Young Adults (25-34)",7180,16,30
Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL","Adults (35-64)",7158,15,50
Clothing,Gloves,"Half-Finger Gloves, S","Adults (35-64)",7018,15,24
Accessories,"Bottles and Cages","Mountain Bottle Cage","Youth (<25)",6568,15,10
Clothing,Gloves,"Half-Finger Gloves, L","Adults (35-64)",6355,15,24
Clothing,Shorts,"Women's Mountain Shorts, M","Adults (35-64)",6258,16,70
Clothing,Jerseys,"Long-Sleeve Logo Jersey, L","Young Adults (25-34)",6081,14,50
Clothing,Jerseys,"Long-Sleeve Logo Jersey, S","Adults (35-64)",6056,15,50
Accessories,"Bottles and Cages","Road Bottle Cage","Youth (<25)",6053,16,9
Accessories,"Hydration Packs","Hydration Pack - 70 oz.","Young Adults (25-34)",5891,15,55
